20 80
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
4	0	88.391174
4	1	508.64624
4	3	548.9672
4	2	638.54913
5	1	875.1714
5	2	1119.7861
5	0	746.48846
5	3	817.7732
6	4	270.89667
6	1	242.9856
6	2	422.01895
6	3	278.1798
7	5	512.83136
7	3	446.9955
7	1	534.06836
7	4	771.43115
8	6	451.63702
8	2	41.231056
8	1	258.81653
8	4	675.2459
9	6	67.80118
9	1	201.31816
9	7	512.25775
9	3	219.78398
10	5	215.02791
10	7	316.26096
10	6	705.64154
10	3	691.5273
11	10	78.434685
11	0	867.554
11	5	258.1182
11	9	728.344
12	9	404.85675
12	7	451.24826
12	11	779.5204
12	2	366.3141
13	3	96.56604
13	12	198.00252
13	8	227.4313
13	4	568.8603
14	1	935.727
14	5	78.40918
14	11	329.68622
14	4	808.9116
15	10	124.197426
15	12	640.13824
15	7	196.65706
15	5	335.07312
17	7	106.901825
17	11	251.85909
17	15	133.09395
17	9	608.0428
16	13	468.3268
16	12	301.03986
16	11	576.08765
16	7	257.39075
19	0	327.60495
19	15	476.7599
19	4	348.09195
19	16	685.2416
18	7	192.4396
18	17	117.88554
18	10	138.52075
18	14	430.00116
0	9	393.11703
0	8	759.61304
0	13	641.57385
0	6	338.63846
1	13	60.671246
1	0	580.9389
1	3	91.44397
1	12	244.76111
2	13	223.61798
2	1	245.80074
2	0	723.6187
2	15	924.8465
3	15	605.5287
3	12	185.71483
3	8	323.9753
3	2	319.3556
